County,State,Year,Number of Incidents,Total Killed,Total Injured,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
Essex, NJ,2017,228,77,122,40.7314,-74.174,800401,37.3,57365,35133,130583,0.163146973,0.054195335
Lake, IN,2017,228,65,161,41.4898,-87.4587,488694,38.6,52559,26590,80849,0.165438905,0.041260994
Caddo, LA,2017,218,50,167,32.4989,-93.7141,251069,37.1,40391,25565,57607,0.229446885,0.031517232
Erie, NY,2017,213,36,138,42.9185,-78.8521,923995,40.3,54006,31083,133648,0.144641475,0.028179806
Tarrant, TX,2017,210,106,119,32.5847,-97.077,1983675,34.2,62532,30857,264575,0.133376183,0.027845791
El Paso, CO,2017,205,38,104,38.8464,-104.723,674826,34,62535,31217,72699,0.107729993,0.03267509
Hudson, NJ,2017,204,18,108,40.7149,-74.0689,679756,34.9,62681,35910,115254,0.169552016,0.039956985
Dane, WI,2017,198,11,46,43.033,-89.477,522837,34.8,67631,37193,63003,0.120502183,0.022383649
Hinds, MS,2017,193,60,125,32.3736,-90.1529,243249,34.2,41011,22397,56200,0.231038977,0.048098862
Bernalillo, NM,2017,192,70,74,35.0827,-106.704,674855,37.1,50386,28340,119697,0.17736699,0.033165643
Charleston, SC,2017,192,46,79,32.9386,-80.0361,387847,37.2,57882,35587,57569,0.148432243,0.028250831
Multnomah, OR,2017,192,26,84,45.4972,-122.535,788459,36.8,60369,34848,126836,0.160865689,0.038359636
Fayette, KY,2017,191,22,103,38.0682,-84.5057,315109,34.3,53013,31653,56039,0.177840049,0.033359885
Hampden, MA,2017,188,20,58,42.1474,-72.5948,469188,38.7,52205,28072,78315,0.166916034,0.039706898
Sacramento, CA,2017,187,54,125,38.5796,-121.302,1495400,35.9,60239,29693,246203,0.16464023,0.043182426
Muscogee, GA,2017,186,43,105,32.5038,-84.9504,198647,33.7,43239,24604,41295,0.207881317,0.044007712
Douglas, NE,2017,185,31,108,41.2878,-95.9496,549706,34.3,58640,32023,72562,0.13200147,0.023947346
Lancaster, NE,2017,184,1,27,40.84,-96.7199,306357,33.2,55747,29901,40887,0.133461941,0.021912344
Lucas, OH,2017,184,36,143,41.6763,-83.5395,433404,37.9,44820,27111,83744,0.193223874,0.042415391
Lee, FL,2017,182,40,66,26.6168,-81.7147,700165,47.8,52052,30233,102539,0.146449765,0.03119836
Ramsey, MN,2017,176,25,76,45.0137,-93.0257,537893,34.8,60301,32544,78410,0.145772486,0.030295988
Hillsborough, FL,2017,171,53,79,27.9596,-82.3208,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Horry, SC,2017,170,21,66,33.835,-79.065,310186,44.4,46475,25804,51863,0.16719968,0.034134358
San Diego, CA,2017,170,64,78,32.8267,-116.925,3283665,35.4,70588,34350,427031,0.130047066,0.03555722
Richland, SC,2017,169,43,104,34.0039,-81.0067,404869,33,52082,28018,62671,0.154793279,0.039301601
Sedgwick, KS,2017,169,34,104,37.7047,-97.3357,510484,35,52841,27583,73900,0.144764576,0.028335854
Bronx, NY,2017,166,48,140,40.8105,-73.9286,1455846,33.6,36593,19721,422197,0.29000114,0.053513215
Providence, RI,2017,164,11,74,41.8655,-71.3733,633704,37.3,52530,29025,101489,0.160152058,0.039916112
Mahoning, OH,2017,162,22,46,41.0695,-80.6526,231857,43.5,43251,25901,39616,0.170863938,0.039882341
Monroe, NY,2017,161,22,126,43.1618,-77.5933,748680,38.6,55272,31291,107481,0.143560667,0.03461559
Chatham, GA,2017,160,35,120,32.0406,-81.1111,285506,34.9,52215,28765,47119,0.165036812,0.04432131
Broward, FL,2017,157,70,80,26.1965,-80.2521,1890416,40.1,54895,30109,262306,0.138755702,0.040763514
Hamilton, TN,2017,157,31,127,35.0211,-85.2193,354589,39.5,50273,29711,50043,0.141129589,0.029625849
Contra Costa, CA,2017,153,45,51,37.9252,-122.349,1123678,39.2,88456,42898,108630,0.096673602,0.035374903
Bristol, MA,2017,152,8,27,41.6342,-70.9227,557016,40.9,62514,32406,65842,0.118204863,0.037273615
Denver, CO,2017,143,47,82,39.735,-104.986,678467,34.4,60098,38991,100611,0.148291663,0.026086751
Guilford, NC,2017,142,60,101,36.0578,-79.8281,517197,37.2,49253,28582,83981,0.162377199,0.033613884
Montgomery, AL,2017,142,50,92,32.3415,-86.1959,227120,35.9,46545,26712,45863,0.201932899,0.036733885
Hartford, CT,2017,141,27,55,41.7582,-72.6931,897417,40.4,69936,37817,97996,0.109197842,0.039436516
Marion, FL,2017,141,19,49,29.2077,-82.1872,343778,48.5,41964,23598,58762,0.170930077,0.034522279
Newport News, VA,2017,141,24,88,37.1336,-76.5199,180775,33.2,51082,26028,28194,0.155961831,0.036653298
Norfolk, VA,2017,140,40,115,36.8913,-76.2458,245752,30.4,47137,26670,46251,0.188201927,0.039389303
Onondaga, NY,2017,139,19,94,43.018,-76.1417,467669,38.8,57271,31436,67057,0.1433856,0.032614948
Durham, NC,2017,138,33,112,35.9813,-78.867,300865,35,56393,33151,47237,0.157003972,0.031592242
Allen, IN,2017,136,42,65,41.0291,-85.0896,367747,35.7,51091,26932,53204,0.144675551,0.032283064
Kane, IL,2017,136,12,50,42.1205,-88.2503,529402,36.6,74862,33486,54558,0.103055901,0.03282005
Boone, MO,2017,134,15,43,38.88,-92.2582,174589,30.6,52005,28495,30979,0.177439587,0.024302791
Bibb, GA,2017,132,27,102,32.8357,-83.6371,153923,36,38183,23426,39473,0.256446405,0.045568239
Minnehaha, SD,2017,132,5,5,43.5511,-96.6354,183660,34.7,57322,29551,19599,0.106713492,0.019644996
Shawnee, KS,2017,132,22,56,39.0211,-95.6508,178392,38.9,54667,28584,22898,0.128357774,0.027024754
Salt Lake, UT,2017,130,38,73,40.5398,-111.887,1106700,32.4,67922,30134,114135,0.10313093,0.022776724
Plymouth, MA,2017,129,5,32,42.077,-71.0357,509114,42.6,82081,39247,39748,0.078072887,0.032976897
Volusia, FL,2017,129,23,54,29.1228,-81.027,518660,46.4,43838,25871,81729,0.157577218,0.029387267
Summit, OH,2017,126,38,64,41.0812,-81.5619,541318,40.8,53291,30803,72232,0.133437277,0.033418434
Dauphin, PA,2017,125,25,64,40.264,-76.8666,273329,39.6,57071,31152,35516,0.129938645,0.029799253
Humboldt, CA,2017,125,8,18,40.6572,-124.212,135490,37.7,43718,25208,27481,0.202826777,0.043176618
Worcester, MA,2017,123,0,34,42.2535,-71.7973,818249,40.1,69313,34691,87858,0.107373183,0.032620877
Orange, CA,2017,122,46,61,33.7258,-117.859,3155816,37.5,81851,37603,378459,0.119924292,0.030432383
Polk, IA,2017,121,19,64,41.604,-93.659,467235,35.2,63530,33524,53570,0.114653226,0.026590474
Passaic, NJ,2017,119,19,74,40.926,-74.1703,510563,36.7,63339,29393,85639,0.167734442,0.029700546
DeKalb, GA,2017,117,71,59,33.7135,-84.2647,736066,35.5,55876,32110,127299,0.172945089,0.04629612
New Haven, CT,2017,117,16,67,41.5402,-72.7895,862127,40.1,64872,35085,100732,0.116841254,0.041034558
Travis, TX,2017,117,37,61,30.4382,-97.6376,1176584,33.6,68350,38820,159948,0.135942695,0.025571485
Jefferson, LA,2017,113,32,83,30.011,-90.2551,437038,39,50868,28839,70702,0.161775406,0.030015697
Anchorage, AK,2017,112,29,44,61.189,-149.726,298225,33.1,82271,38977,23510,0.078833096,0.031499707
Santa Clara, CA,2017,112,41,45,37.2955,-121.832,1911226,37,106761,48689,162525,0.085037039,0.030459506
Greenville, SC,2017,111,33,48,34.7738,-82.394,490332,38,53739,29132,64347,0.131231492,0.027560918
Richmond, NY,2017,108,10,43,40.6366,-74.1194,475948,39.9,76244,33922,60735,0.127608478,0.026145713
Genesee, MI,2017,107,39,60,43.1165,-83.6944,410881,40.1,45231,25180,81280,0.197818833,0.049143183
Vanderburgh, IN,2017,107,17,46,37.9564,-87.5399,181831,37.9,44815,26917,31506,0.173270784,0.025919673
Kent, MI,2017,105,15,64,42.9212,-85.6859,636376,35,57302,29433,83789,0.13166587,0.028855582
Delaware, PA,2017,104,30,74,39.9246,-75.3109,563384,39,69839,36747,56639,0.100533561,0.035474916
San Francisco, CA,2017,104,46,56,37.7798,-122.415,864263,38.3,96265,59508,99096,0.114659542,0.03367262
Wayne, NC,2017,104,15,25,35.3837,-77.9681,124496,37.3,41766,23163,25635,0.20591023,0.044499422
Bell, TX,2017,103,33,47,31.114,-97.738,336506,30.6,52583,25017,46671,0.138692921,0.036308416
Lancaster, PA,2017,103,19,29,40.0313,-76.3326,536494,38.5,61492,29280,54244,0.101108307,0.024460665
Madison, AL,2017,103,34,74,34.7687,-86.6329,353213,38.2,61318,34232,46925,0.132851849,0.033469889
Brevard, FL,2017,101,24,45,28.0715,-80.6128,568183,47.1,51536,29405,75104,0.132182765,0.034782808
Prince George's, MD,2017,99,71,43,38.7835,-76.9382,905161,36.5,78607,34391,82328,0.090953985,0.041482123
Spartanburg, SC,2017,99,19,49,34.9131,-82.0126,297732,38.3,47575,24786,45020,0.151209813,0.030208375
St. Lucie, FL,2017,99,9,30,27.4566,-80.3427,298763,44.6,47132,24940,49214,0.164725886,0.033424487
Wake, NC,2017,99,23,72,35.8722,-78.6367,1023811,35.8,73577,37315,101256,0.098901067,0.02707531
Monterey, CA,2017,97,32,36,36.6737,-121.675,433168,33.9,63249,27168,60933,0.140668286,0.027049551
Pima, AZ,2017,97,51,47,32.2303,-110.976,1007257,38.2,48676,27323,179569,0.178275256,0.039715783
Black Hawk, IA,2017,96,7,33,42.4992,-92.331,132960,34.9,50916,27669,20292,0.152617329,0.028880866
Kanawha, WV,2017,96,15,43,38.3668,-81.6501,187827,43.1,46859,28201,30401,0.161856389,0.030517444
Pierce, WA,2017,94,27,36,47.2465,-122.501,845193,36,63881,31157,101328,0.11988741,0.033613624
Clarke, GA,2017,93,7,13,33.9773,-83.3641,123554,27.3,34557,21203,38618,0.31255969,0.03837998
York, PA,2017,93,25,42,39.8508,-76.6898,442216,41,61707,30178,44343,0.100274526,0.028565226
Pinellas, FL,2017,92,33,44,27.7642,-82.6724,949842,47.6,48968,32120,127948,0.134704509,0.031599992
Ventura, CA,2017,92,16,34,34.2876,-118.755,847834,37.5,81972,35771,85816,0.101217927,0.033912299
Pueblo, CO,2017,91,10,18,38.2664,-104.63,163368,38.8,42386,23110,31467,0.192614221,0.041287155
St. Joseph, IN,2017,91,21,54,41.686,-86.2637,268613,36.5,48121,25893,44003,0.163815601,0.032139174
Sangamon, IL,2017,90,11,33,39.7784,-89.6322,198134,40.1,58687,33277,30348,0.153169067,0.035440661
Atlantic, NJ,2017,89,17,32,39.3643,-74.4143,272926,41.1,57514,29941,40750,0.149307871,0.057268271
Cumberland, NC,2017,89,33,50,35.0767,-78.9346,332766,31,44737,23627,57582,0.173040515,0.04152768
Lake, FL,2017,89,16,35,28.3897,-81.6881,326215,46.6,49734,25991,41353,0.12676609,0.031160431
Hampton, VA,2017,88,17,71,37.046,-76.3512,136255,35.8,52021,27053,19633,0.144090125,0.03858207
Pitt, NC,2017,88,4,35,35.5788,-77.3561,176484,32,43526,25462,41319,0.234123207,0.052163369
Spokane, WA,2017,88,16,29,47.6483,-117.595,490764,37.4,52159,28325,72371,0.147465992,0.030144835
Leon, FL,2017,87,18,46,30.4189,-84.2771,285890,30.5,49941,28548,56180,0.196509147,0.04858512
New York, NY,2017,86,15,73,40.8205,-73.9363,1653877,37.1,79781,69529,277483,0.167777289,0.036139931
Middlesex, MA,2017,85,6,17,42.4051,-71.0647,1582857,38.5,92878,47616,125491,0.079281325,0.027416248
St. Clair, IL,2017,85,34,31,38.6037,-90.1536,264433,38,51103,28643,44376,0.167815666,0.037741129
Greene, MO,2017,84,17,39,37.1807,-93.2269,286759,35.7,43175,25529,50765,0.177030189,0.025163988
Richmond, GA,2017,82,29,47,33.375,-82.0389,201568,33.7,39430,21464,46692,0.231643912,0.05141193
Stark, OH,2017,82,26,26,40.908,-81.0962,374273,41.8,50117,27401,50921,0.136053095,0.034079402
Alachua, FL,2017,81,10,27,29.7976,-82.4872,259865,31.2,45478,26431,57060,0.219575549,0.033020992
Beaufort, SC,2017,81,5,21,32.2373,-80.8697,179316,44,60603,34966,20786,0.115918267,0.027811238
Mesa, CO,2017,80,5,4,39.0748,-108.491,148798,38.9,51971,27612,23238,0.156171454,0.040074463
Craighead, AR,2017,79,8,23,35.8358,-90.7068,104246,34,45672,25594,18298,0.175527119,0.029737352
Scott, IA,2017,78,13,22,41.5369,-90.595,171493,38.1,57681,30798,20615,0.120208988,0.021306992
Snohomish, WA,2017,78,11,28,47.995,-122.204,771904,37.8,78020,35737,67118,0.086951227,0.028810577
Will, IL,2017,78,27,20,41.5948,-88.2017,687727,37.3,80782,33731,50149,0.072919923,0.031932729
Yakima, WA,2017,78,22,46,46.5045,-120.468,248279,32.7,47470,21510,46428,0.186999303,0.033885266
Kankakee, IL,2017,77,8,28,41.1221,-87.8657,110801,37.7,56542,26150,16059,0.144935515,0.036353463
Luzerne, PA,2017,77,11,26,41.2957,-76.0014,318222,43,49290,26809,46537,0.146240675,0.03503529
Calhoun, MI,2017,76,3,22,42.3259,-85.1931,134327,39.9,46213,24859,22630,0.168469481,0.034840352
Knox, TN,2017,76,29,53,35.9142,-84.1868,452286,37.3,52458,30541,69448,0.153548861,0.028663279
Macon, IL,2017,75,10,44,39.8403,-88.9548,107587,41,49052,28280,17246,0.160298177,0.04512627
Butler, OH,2017,74,23,27,39.3714,-84.3633,375702,36.4,62188,29745,47018,0.125147058,0.027668205
Harrison, MS,2017,74,16,32,30.4154,-89.0698,200491,35.9,44684,23127,39854,0.19878199,0.043777526
Kent, DE,2017,74,8,29,39.1582,-75.5244,173145,37.3,57647,27420,21743,0.125576829,0.03212914
Suffolk, NY,2017,74,9,39,40.6886,-73.4262,1497595,41,92838,40277,105522,0.070460972,0.02862189
Washoe, NV,2017,73,26,40,39.5274,-119.817,445551,38,58595,31879,58642,0.131616807,0.035834282
Butte, CA,2017,72,9,25,39.5003,-121.551,225207,36.9,46516,26304,44977,0.199714041,0.041424112
New Hanover, NC,2017,72,18,33,34.2273,-77.9383,219866,38.7,51457,31708,38374,0.17453358,0.036676885
Trumbull, OH,2017,72,17,38,41.2466,-80.8251,203341,44,45380,25542,34254,0.168455943,0.027298971
Lafayette, LA,2017,71,26,33,30.2095,-92.0071,238230,34.5,53950,30656,38761,0.162704109,0.026999118
Madison, TN,2017,71,9,27,35.612,-88.8171,97887,37.9,44496,24600,19100,0.195122948,0.028849592
Stanislaus, CA,2017,71,24,29,37.5839,-120.948,535684,33.9,54260,24007,91210,0.170268293,0.054584419
Darlington, SC,2017,70,11,30,34.3696,-80.0719,67572,41.2,36217,21225,14997,0.221941041,0.059462499
Lehigh, PA,2017,70,19,43,40.6135,-75.47,360774,39.4,60116,30988,46596,0.129155649,0.036726593
Orangeburg, SC,2017,70,12,37,33.5039,-80.8428,89116,39.5,34943,19489,20069,0.225200862,0.041889223
York, SC,2017,70,11,19,35.0081,-80.9457,251664,38.3,59394,30387,30418,0.120867506,0.034184468
Okaloosa, FL,2017,69,5,28,30.7068,-86.5821,197591,36.7,59955,30775,21997,0.111325921,0.028159177
Nassau, NY,2017,68,5,21,40.6611,-73.5959,1363069,41.5,105744,46839,78657,0.057705809,0.025983277
Portsmouth, VA,2017,68,11,53,36.8681,-76.3993,95536,35.2,48727,24291,16302,0.170637247,0.046956121
Adams, CO,2017,67,32,29,39.8266,-105.053,487850,33.4,64087,27487,59050,0.121041304,0.027385467
Lauderdale, MS,2017,67,15,43,32.3563,-88.7308,78221,37.7,41340,23339,16102,0.205852648,0.031884021
Roanoke, VA,2017,67,13,36,37.3057,-79.9493,99572,38.4,41483,24697,21046,0.211364641,0.033362793
Alamance, NC,2017,65,5,26,36.1185,-79.4501,157844,39.7,44281,25157,26996,0.171029624,0.029788906
Hillsborough, NH,2017,65,2,10,42.9641,-71.4335,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tehama, CA,2017,65,9,13,39.9169,-122.188,63247,41.1,42512,22631,13009,0.205685645,0.042563284
Lubbock, TX,2017,64,13,40,33.6018,-101.814,298042,30.7,49078,26196,53614,0.179887398,0.024553586
Sarasota, FL,2017,63,13,26,27.3589,-82.5406,404839,55.1,55236,37054,41926,0.103562157,0.023937911
Champaign, IL,2017,62,6,23,40.3131,-88.1605,207946,29.7,49586,28463,41088,0.197589759,0.027324402
Cobb, GA,2017,62,31,22,34.1319,-84.6786,739072,36.4,72004,36587,79127,0.107062641,0.032727529
Erie, PA,2017,62,13,29,42.1234,-80.0918,277794,39,48192,26361,44492,0.160161847,0.031778944
Tulare, CA,2017,62,22,22,36.0581,-119.051,458809,30.6,44871,18962,122724,0.267483855,0.042294288
Aiken, SC,2017,61,10,32,33.5636,-81.7084,165707,41,47713,26222,27183,0.164042557,0.042369966
Burlington, NJ,2017,61,6,21,40.1043,-74.8296,449192,41.4,82839,39528,28066,0.062481077,0.03715783
Florence, SC,2017,61,18,36,34.2056,-79.7604,138537,38.8,43310,23797,26444,0.190880415,0.045056555
Bay, FL,2017,60,9,19,30.1558,-85.7551,180117,39.6,50283,26742,27248,0.151279446,0.030424668
Escambia, FL,2017,60,18,27,30.426,-87.2229,309924,37,47361,25666,42457,0.13699165,0.033682451
Fairbanks North Star, AK,2017,60,10,11,64.8383,-147.72,100031,31,76250,35328,7340,0.073377253,0.040457458
Saginaw, MI,2017,60,18,38,43.4353,-83.9549,193803,40.8,45034,25348,33103,0.170807469,0.037956069
Solano, CA,2017,60,20,29,38.0849,-122.225,434981,37.7,72950,31934,48623,0.111781894,0.041992639
Manatee, FL,2017,59,17,29,27.4398,-82.5522,363542,47.6,53408,30477,48234,0.13267793,0.02932536
Oakland, MI,2017,59,8,36,42.7929,-83.6112,1241860,41,73369,40941,111071,0.089439228,0.028643325
Virginia Beach, VA,2017,59,14,51,36.8017,-76.0865,450057,35.6,70500,34607,35276,0.078381183,0.027216553
Indian River, FL,2017,58,6,21,27.629,-80.3971,147981,52.2,49009,33122,18617,0.125806691,0.033679999
Jasper, MO,2017,58,14,15,37.0954,-94.5024,118522,35.9,45328,23390,20083,0.169445335,0.027522317
Merced, CA,2017,58,13,14,37.3458,-120.614,267390,30.8,46338,20120,60861,0.227611354,0.06346161
Nueces, TX,2017,58,14,27,27.7163,-97.4141,358484,35.1,53317,26780,58409,0.162933353,0.029128218
Cabell, WV,2017,57,11,33,38.4167,-82.4243,96100,38.3,37816,24646,21376,0.222434964,0.023975026
Rowan, NC,2017,57,12,30,35.6862,-80.5813,138940,40.1,46978,23838,22633,0.162897654,0.043407226
Tuscaloosa, AL,2017,57,17,39,33.164,-87.5075,204424,32.3,50513,24895,33597,0.164349587,0.032139083
Eddy, NM,2017,56,8,8,32.3816,-104.226,56793,35.9,60703,28419,8164,0.14375011,0.024562886
Linn, IA,2017,56,6,27,41.9805,-91.6497,220008,37.4,62702,32786,20280,0.092178466,0.021031053
Anne Arundel, MD,2017,55,13,17,38.9797,-76.4986,564600,38.5,94502,43258,33246,0.058884166,0.02814559
Cumberland, NJ,2017,55,14,28,39.379,-75.0278,154952,36.8,50000,23012,26781,0.172834168,0.039947855
Madison, IL,2017,55,7,15,38.8987,-90.1675,266153,40,56536,30278,35099,0.131875275,0.037624975
Anderson, SC,2017,54,11,29,34.3135,-82.5854,194174,40.5,45551,24485,29776,0.153346998,0.031832274
Northampton, PA,2017,54,12,18,40.6686,-75.2135,300941,42,65390,32608,26583,0.088332929,0.029995913
Wyandotte, KS,2017,54,37,29,39.1376,-94.6387,163227,33.7,42783,20192,34641,0.212225919,0.040710177
Clark, WA,2017,53,13,17,45.6565,-122.508,457474,38,67832,32162,46542,0.101736929,0.031101221
Ingham, MI,2017,53,12,39,42.6723,-84.603,286185,31.7,49109,27399,56038,0.195810402,0.042430596
Lorain, OH,2017,53,8,30,41.4486,-82.1718,305405,41.5,54987,28555,40477,0.132535486,0.034799692
Ouachita, LA,2017,53,18,23,32.5105,-92.0437,156433,35.1,40081,22538,36450,0.233007102,0.030696848
Racine, WI,2017,53,6,16,42.7425,-87.7839,195101,40.1,58334,29582,22623,0.115955326,0.029666685
Albany, NY,2017,52,5,26,42.7698,-73.7011,308580,37.8,62293,35278,36325,0.117716638,0.02873485
Rutherford, TN,2017,52,8,26,35.9947,-86.4799,298456,33.1,62149,27932,34716,0.116318653,0.027632214
St. Landry, LA,2017,52,7,19,30.5278,-92.0891,83580,36.2,32163,19205,22942,0.274491505,0.021452501
Lane, OR,2017,51,9,10,43.7955,-123.062,363471,39.4,47710,27032,66941,0.184171502,0.038022291
Gregg, TX,2017,50,13,18,32.4741,-94.7226,123402,35.4,47970,25144,21028,0.170402425,0.022463169
Polk, FL,2017,50,16,18,28.0601,-81.9941,652256,40.4,45988,22579,110557,0.169499399,0.033647832
El Paso, TX,2017,49,11,22,31.9103,-106.436,834825,31.9,43244,19950,177980,0.213194382,0.030699847
Lake, IL,2017,49,15,23,42.4556,-87.8341,704476,38,82613,42388,58251,0.08268699,0.032981961
Washtenaw, MI,2017,49,9,19,42.276,-83.7442,361509,33.4,65618,37455,49602,0.137208202,0.02898683
Floyd, GA,2017,48,4,9,34.187,-85.177,96471,38.3,46096,23929,16774,0.173876087,0.035046802
Robeson, NC,2017,48,19,30,34.6055,-79.0258,134187,35.9,32407,17161,38182,0.284543212,0.038043924
Dougherty, GA,2017,47,18,26,31.5455,-84.172,91522,35,34541,20292,26759,0.292377789,0.070595048
Forrest, MS,2017,47,7,28,31.3165,-89.3035,75835,32,39555,20783,18998,0.250517571,0.057335004
