County,State,Year,Number of Incidents,Total Killed,Total Injured,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
Kershaw, SC,2017,15,5,4,34.2938,-80.7768,63734,41.8,46565,23530,10366,16.2644742,3.1976653
Leflore, MS,2017,15,3,11,33.5117,-90.1663,30113,33.1,25210,15403,11604,38.5348521,4.1311062
Madison, IN,2017,15,4,8,40.1,-85.7061,129641,40.2,45432,23680,21454,16.548777,3.1564089
Madison, MS,2017,15,7,10,32.6154,-90.0009,102212,37,68600,36627,12043,11.7823739,2.686573
McHenry, IL,2017,15,5,4,42.292,-88.4307,308043,39.9,82230,36208,22339,7.2519096,2.9930886
Mendocino, CA,2017,15,4,6,39.1333,-123.166,87497,42.4,46528,27093,16448,18.7983588,4.9190258
Miami, OH,2017,15,1,5,40.0419,-84.2053,104081,41.5,54568,28051,10150,9.7520201,2.7824483
Monroe, IN,2017,15,2,7,39.1403,-86.5568,144436,28.8,45689,26738,31974,22.1371403,3.3301947
Oktibbeha, MS,2017,15,2,6,33.4748,-88.8103,49392,25.4,37348,21322,13152,26.627794,4.3994979
Santa Rosa, FL,2017,15,7,3,30.4976,-87.0624,166778,39.5,62731,28908,18073,10.8365612,2.8570915
Stearns, MN,2017,15,3,7,45.5593,-94.1533,155300,34.1,59564,29148,19321,12.4410818,2.6052801
Sullivan, TN,2017,15,4,9,36.529,-82.6076,156519,44.7,42251,25946,25508,16.297063,3.1108044
Williamson, IL,2017,15,4,3,37.8316,-89.1431,67477,40.9,48600,26023,9906,14.6805578,3.1373653
Acadia, LA,2017,14,7,8,30.4673,-92.2447,62607,35.8,40492,21591,13196,21.0775153,3.8893414
Alcorn, MS,2017,14,3,12,34.9239,-88.4997,37242,40.1,38919,20527,7186,19.2954192,3.7538263
Benton, AR,2017,14,2,3,36.454,-94.1203,251823,35.2,61271,30611,26096,10.3628342,1.5109819
Broome, NY,2017,14,2,8,42.1099,-75.9365,196124,39.6,49064,26790,31795,16.2116824,3.4452693
Chesterfield, SC,2017,14,6,7,34.8008,-80.0311,46127,41.9,38469,19768,10844,23.5090077,4.0973833
Clark, IN,2017,14,0,7,38.564,-85.5373,114893,38.8,52834,26875,10981,9.5575884,2.9697197
Cleveland, OK,2017,14,9,3,35.2007,-97.4678,274024,33.6,60632,29231,33054,12.0624471,2.5497767
Colbert, AL,2017,14,3,7,34.1371,-85.6003,54435,42.5,45477,23675,9056,16.6363553,3.0366492
Crittenden, AR,2017,14,8,9,35.1433,-90.1688,49278,35,38558,20721,11422,23.1787004,3.7805917
Dakota, MN,2017,14,4,4,44.7891,-93.2673,414655,37.7,79995,38863,28284,6.8210922,2.2958845
Dillon, SC,2017,14,7,10,34.3851,-79.3606,31073,37.4,30866,15638,9381,30.1901973,3.6559071
Dubuque, IA,2017,14,0,9,42.502,-90.6677,96571,38.6,59150,30117,11051,11.443394,2.1103644
Fairfield, OH,2017,14,5,5,39.7357,-82.5687,151526,39.2,63424,29582,14776,9.7514618,2.5018809
Kaufman, TX,2017,14,7,3,32.585,-96.3025,114852,35.7,63926,26631,14073,12.2531606,3.1988995
Klamath, OR,2017,14,3,5,42.1915,-121.728,66018,42.6,42531,23793,12202,18.482838,3.9277167
Licking, OH,2017,14,10,5,40.0719,-82.413,170678,39.9,59747,29093,19591,11.4783393,3.0302675
Madison, KY,2017,14,4,4,37.5586,-84.3125,88376,34,46674,23733,15983,18.0852268,3.4952928
Marion, OH,2017,14,3,1,40.5792,-82.9974,65483,40.8,44708,22579,9846,15.0359635,3.3978284
Marshall, AL,2017,14,3,7,34.2583,-86.2077,94738,38.8,41104,22710,19654,20.7456353,2.8330765
Miller, AR,2017,14,2,12,34.562,-93.1545,43760,38.5,41862,22227,8891,20.3176417,3.6357404
Portage, OH,2017,14,7,3,41.1541,-81.3351,162080,37.8,53816,27985,22493,13.8777147,3.899926
Rankin, MS,2017,14,1,7,32.1535,-90.1312,149645,37.2,61605,29055,12278,8.2047512,2.2399679
Richland, OH,2017,14,4,6,40.7633,-82.5137,121533,41.4,44138,23439,17674,14.5425522,3.3711009
Rockingham, NC,2017,14,2,9,36.3536,-79.6857,91566,44.4,41700,22521,16653,18.1868816,3.353865
Somerset, NJ,2017,14,1,11,40.5365,-74.5898,333316,41.3,106046,51923,15745,4.7237456,2.6875398
St. Lawrence, NY,2017,14,0,2,44.5296,-75.546,110817,38,48330,23554,19142,17.273523,3.8342493
Sumter, FL,2017,14,2,3,28.8566,-82.0346,116754,66.4,54771,33168,9895,8.4750844,1.4397794
Union, SC,2017,14,0,6,34.6776,-81.6322,27772,43.7,37493,21183,5258,18.932738,3.355898
Weber, UT,2017,14,6,5,41.2443,-111.979,244101,32.3,62036,25275,29277,11.9938058,2.3641853
Yuba, CA,2017,14,2,5,39.1025,-121.583,74644,32.4,51776,22814,13598,18.2171373,4.0954397
Autauga, AL,2017,13,7,6,32.4696,-86.4297,55036,37.8,55317,27824,7483,13.596555,2.4056981
Barren, KY,2017,13,0,4,37.0047,-85.9263,43418,40.3,39658,20493,9704,22.3501773,3.4709107
Cameron, TX,2017,13,6,2,26.1897,-97.6755,420201,31.4,36095,16085,129912,30.9166328,3.1830005
Chemung, NY,2017,13,3,7,42.0802,-76.812,86883,41.2,51251,27209,12934,14.8866867,2.4527238
Cumberland, ME,2017,13,3,3,43.682,-70.3327,289173,42.1,65702,36780,29984,10.3688795,2.2792584
DeKalb, IL,2017,13,2,5,41.9329,-88.7411,104473,30.7,58343,26511,17944,17.1757296,4.746681
Garfield, OK,2017,13,0,9,36.3943,-97.859,62421,35.7,50724,25787,8241,13.2022877,2.500761
Hancock, MS,2017,13,2,5,30.3097,-89.3675,46277,43.2,47518,24373,7921,17.1164942,3.8896212
Henry, GA,2017,13,9,8,33.5521,-84.2836,217506,36.7,64752,26924,24638,11.3275036,3.838055
Indiana, PA,2017,13,2,7,40.6155,-79.1664,86551,39.7,46306,25014,13362,15.4382965,3.7850516
Jasper, SC,2017,13,4,7,32.3313,-80.9288,27465,38.1,39740,20067,6084,22.1518296,5.2321136
Laurel, KY,2017,13,5,8,37.1885,-84.1118,59901,39.6,37235,20446,14479,24.1715497,4.1284787
Laurens, SC,2017,13,5,3,34.4829,-81.8817,66508,40.8,40580,20748,13280,19.9675227,3.5965598
Merrimack, NH,2017,13,2,3,43.2238,-71.4902,147958,42.8,69856,34475,10899,7.3662796,2.1891348
Muskogee, OK,2017,13,2,6,35.7432,-95.4023,69471,37.7,41329,21800,14375,20.6920873,2.8486707
Neshoba, MS,2017,13,13,3,32.7864,-89.1265,29437,36.7,36755,19243,6401,21.744743,3.8930598
Oconee, SC,2017,13,3,6,34.6628,-82.9275,75926,45,43978,26798,13993,18.4297869,2.8883386
Pickens, SC,2017,13,10,5,34.8255,-82.567,121449,36.2,45332,23501,20987,17.2805046,3.2235753
Porter, IN,2017,13,2,3,41.4822,-87.0461,167391,39.4,65979,31879,17954,10.7257857,2.893226
Putnam, FL,2017,13,4,7,29.6555,-81.643,72435,44.8,33619,18950,19546,26.9841927,3.9856423
Riley, KS,2017,13,2,6,39.1922,-96.5684,75696,24.9,48428,26619,14511,19.1701015,2.7742549
St. Charles, MO,2017,13,2,5,38.7583,-90.5412,385115,38,78380,35628,21362,5.5469146,2.0326396
St. Martin, LA,2017,13,2,10,30.367,-91.6298,53609,37.1,47279,23654,9367,17.4728124,3.0685146
Whitley, KY,2017,13,5,7,36.7819,-84.0481,36027,37,34103,18463,8569,23.7849391,3.6111805
Androscoggin, ME,2017,12,1,2,44.1008,-70.17,107317,40.7,49538,26276,14910,13.8934186,2.7265019
Bartholomew, IN,2017,12,3,2,39.2104,-85.9175,81024,38.1,57331,29955,9870,12.1815758,2.5646722
Beaver, PA,2017,12,4,9,40.6885,-80.2573,168161,44.9,53981,29162,17867,10.6249368,2.9049542
Bethel, AK,2017,12,5,4,61.787,-156.615,17957,26.9,53853,18654,4705,26.2014813,8.1082586
Cabarrus, NC,2017,12,2,6,35.3238,-80.6559,196716,37.9,60716,29143,22481,11.4281502,3.5660546
Callaway, MO,2017,12,0,2,38.8474,-91.9488,44793,38.3,53180,24208,5012,11.1892483,2.0271024
Carter, OK,2017,12,1,2,34.162,-97.1334,48407,38.1,47754,24965,7783,16.0782531,2.9169335
Davis, UT,2017,12,5,6,40.9187,-111.868,334977,30.6,75961,28293,20755,6.1959478,1.6117524
Etowah, AL,2017,12,5,3,34.0588,-85.9445,103132,40.9,42064,22278,18166,17.6143195,3.3025637
Faulkner, AR,2017,12,5,5,35.0935,-92.4452,121282,32.3,50316,25240,18989,15.6568988,2.5148002
Georgetown, SC,2017,12,1,7,33.5407,-79.0499,61065,48.5,46967,28748,11268,18.4524687,4.1922542
Grand Forks, ND,2017,12,1,3,47.9329,-97.1057,70130,29.5,51410,30465,11119,15.854841,2.1445886
Grand Traverse, MI,2017,12,1,1,44.5737,-85.5345,91222,42.8,58229,31701,8642,9.4735919,2.8348425
Guernsey, OH,2017,12,1,3,40.0333,-81.5779,39414,42.4,42744,22864,7857,19.934541,3.8818694
Hampton, SC,2017,12,6,1,32.7549,-81.2421,20066,39.9,32147,17676,3407,16.9789694,3.9669092
Harford, MD,2017,12,6,8,39.5037,-76.1777,250132,40.6,83445,37972,18512,7.4008923,2.8564918
Howard, MD,2017,12,6,5,39.2356,-76.8681,312495,38.7,115576,51045,16001,5.1204019,2.3433975
Imperial, CA,2017,12,5,3,32.6772,-115.494,179957,32.2,44779,17303,40376,22.4364709,6.343182
Jefferson, NY,2017,12,3,2,43.9656,-75.9104,116567,31.9,50322,24717,16189,13.8881502,3.334563
Juneau, AK,2017,12,0,2,58.3976,-134.569,32434,38,90749,41904,2339,7.2115681,2.793365
Lake, OH,2017,12,4,5,41.7288,-81.1779,229701,43.5,61137,32125,18837,8.2006609,2.5790049
Lauderdale, AL,2017,12,3,5,34.8232,-87.6933,92590,41.5,44888,25803,14701,15.8775246,3.0219246
Manassas, VA,2017,12,1,8,38.7467,-77.4766,41379,33.5,77551,30572,3633,8.7798158,4.2267817
Marathon, WI,2017,12,7,0,44.8823,-89.6284,135293,40.7,56509,30151,13754,10.166084,2.0917564
Morris, NJ,2017,12,2,0,40.8722,-74.7436,498847,42.3,107034,53491,22800,4.5705397,2.8746289
Ohio, WV,2017,12,2,1,40.0483,-80.6229,42906,43.5,45777,29769,5549,12.9329231,2.4798396
Okeechobee, FL,2017,12,1,3,27.2069,-80.8309,40228,41,39059,18611,8273,20.5652779,3.4702197
Shelby, AL,2017,12,3,5,33.266,-86.9285,208721,38.5,74063,35330,17127,8.2056909,2.2278544
St. Mary, LA,2017,12,1,2,29.8825,-91.5269,52578,38,41345,22212,10046,19.1068508,3.7030697
Tompkins, NY,2017,12,0,4,42.4413,-76.5181,104415,30.4,56200,29759,18411,17.6325241,2.445051
Warren, OH,2017,12,2,3,39.5672,-84.2929,223868,39.1,79397,37479,11016,4.9207569,2.2995694
Washington, FL,2017,12,1,5,30.7916,-85.807,24472,41.9,36989,18718,4636,18.9440994,4.0576986
Anderson, TN,2017,11,5,3,36.0317,-84.1386,75538,43.3,47206,26972,12085,15.9985703,3.1613228
Ascension, LA,2017,11,5,4,30.3293,-90.9939,119129,35.3,74748,31520,13824,11.6042274,3.2242359
Burke, NC,2017,11,3,3,35.7179,-81.4717,88898,43.6,40854,21885,16660,18.7405791,4.3083084
Cleveland, NC,2017,11,5,6,35.2535,-81.3297,97038,41.7,40002,21664,18977,19.5562563,4.7723572
Escambia, AL,2017,11,5,5,31.158,-87.4382,37621,39.6,35026,18164,8281,22.0116424,5.1301135
Franklin, PA,2017,11,2,3,39.8406,-77.5508,153003,41.3,58267,28985,15643,10.2239825,2.8581139
Hardin, KY,2017,11,2,6,37.851,-85.9523,107699,36.1,51923,26436,14848,13.7865718,3.0185981
Harrison, TX,2017,11,1,2,32.5412,-94.3892,66606,37.7,48644,25123,11605,17.4233553,3.1949074
Hays, TX,2017,11,6,4,30.3163,-98.1335,194843,31.3,62815,29253,28737,14.7487977,2.856659
Hopewell, VA,2017,11,1,8,36.7467,-79.4642,22353,36.5,40712,22668,4670,20.8920503,4.7018297
Josephine, OR,2017,11,2,6,42.3116,-123.266,84514,47.6,40705,24349,15529,18.3744705,3.5437916
Labette, KS,2017,11,3,2,37.3447,-95.276,20553,41,45706,22841,3581,17.4232472,2.3013672
Lafayette, MS,2017,11,1,5,34.3477,-89.5423,52744,29.3,45019,25719,12076,22.8954952,2.8287578
Loudoun, VA,2017,11,1,4,39.0825,-77.4931,374558,35.8,129588,50456,13727,3.664853,2.1096866
Marion, WV,2017,11,5,4,39.4726,-80.1465,56575,41.3,48158,25205,8865,15.6694653,2.5859479
Marlboro, SC,2017,11,1,8,34.6052,-79.6953,27505,39.9,33921,16561,6482,23.5666243,6.0679876
Marshall, MS,2017,11,8,2,34.7699,-89.4486,35981,39.9,41134,19775,6032,16.7644034,2.6180484
McDowell, NC,2017,11,1,0,35.5937,-82.0327,45069,43.3,38776,20439,8498,18.8555326,3.2350396
Missoula, MT,2017,11,4,1,46.8874,-113.925,114231,35.4,49412,29681,17695,15.4905411,3.4544038
Putnam, WV,2017,11,0,4,38.4117,-81.9714,56644,41.6,59113,30690,5209,9.1960314,1.636537
Raleigh, WV,2017,11,0,5,37.8119,-81.1821,77097,42,42386,23435,12996,16.856687,3.0766437
San Juan, NM,2017,11,6,4,36.7439,-108.203,128221,34.6,49686,22665,26248,20.4709057,4.2340958
Sheboygan, WI,2017,11,4,3,43.7178,-87.7103,115094,41.3,56114,28849,9153,7.95263,2.3658922
Stark, ND,2017,11,0,4,46.8792,-102.79,30316,34.3,77328,37978,2387,7.87373,1.7845362
Strafford, NH,2017,11,2,0,43.302,-70.9817,126552,37,67805,32540,11127,8.7924332,2.5199128
Tift, GA,2017,11,3,2,31.463,-83.4794,40531,35.5,38728,20800,10725,26.4612272,1.7122696
Union, NC,2017,11,4,6,35.0326,-80.5535,222095,38,70858,32754,20626,9.2870168,3.1090299
Walton, GA,2017,11,10,1,32.9534,-83.8166,88695,38.9,55876,25184,11200,12.6275438,3.3057106
Williamson, TN,2017,11,4,3,35.9475,-86.8145,212161,39,103543,48482,9704,4.5738849,1.8391693
Winona, MN,2017,11,2,1,44.0292,-91.666,50992,34.5,53975,27200,6849,13.4315187,3.0240038
Barbour, AL,2017,10,0,7,31.8914,-85.1357,26201,39.7,33368,17561,6332,24.1670165,4.8127934
Bladen, NC,2017,10,3,4,34.6053,-78.7845,34130,42.8,32396,20839,8271,24.2338119,3.3225901
Brown, SD,2017,10,0,0,45.4648,-98.4816,38637,37.3,53807,31493,4116,10.653001,0.9835132
Charlotte, FL,2017,10,2,1,26.9724,-82.0665,173236,58.1,46511,29243,20274,11.7031102,3.3209033
Chester, PA,2017,10,5,0,40.1328,-75.5159,514652,40.3,92417,46256,34446,6.6930664,2.6439225
Columbia, NY,2017,10,1,7,42.2558,-73.7916,61481,47.4,61093,34737,6806,11.0700867,2.5698996
Creek, OK,2017,10,4,5,35.9871,-96.0988,70899,40.3,47147,24056,10589,14.9353305,1.8589825
Deschutes, OR,2017,10,1,4,44.435,-121.306,175321,42.1,59152,31575,21102,12.0362079,2.7794731
Dyer, TN,2017,10,1,6,36.0195,-89.3966,37751,40.5,44386,24695,6674,17.6790019,3.3853408
Forsyth, NC,2017,10,5,4,36.083,-80.064,368362,38.2,48369,28640,67043,18.200303,3.3996449
Franklin, MO,2017,10,6,2,38.2392,-91.1731,102413,40.7,53849,27209,10740,10.4869499,2.5231172
Franklin, VA,2017,10,2,7,36.6698,-76.9272,8334,38.7,38760,24820,1361,16.3306935,7.2594192
Jackson, GA,2017,10,6,7,34.2009,-83.6482,63851,38.7,57999,25598,7898,12.3694226,3.0665142
Jefferson, MO,2017,10,4,1,38.2258,-90.4116,222639,38.8,60765,27443,24077,10.8143677,3.3974281
La Crosse, WI,2017,10,3,3,43.8629,-91.2334,117582,35.5,54127,29495,16246,13.8167407,2.5794765
Lee, NC,2017,10,7,3,35.4365,-79.2349,59805,37.9,49272,23613,10262,17.1591004,3.5866566
Pearl River, MS,2017,10,5,1,30.4838,-89.6912,55049,41,44734,22136,9556,17.3590801,4.2761903
Roane, TN,2017,10,3,3,35.9354,-84.5503,52926,46.5,45407,25555,8045,15.2004686,3.603144
Rockland, NY,2017,10,2,1,41.1386,-74.046,325027,36.2,88571,36898,45563,14.01822,3.0886665
Roosevelt, NM,2017,10,0,1,34.1882,-103.344,19313,29.7,35928,18954,4974,25.754673,4.7429193
Salem, NJ,2017,10,1,6,39.7302,-75.469,63776,41.9,63934,31681,8860,13.8923733,3.9936653
Saline, IL,2017,10,1,8,37.6744,-88.5495,24430,42,40722,22725,4920,20.1391731,5.0798199
Saratoga, NY,2017,10,2,0,43.1408,-73.6387,226632,42.3,77548,39653,14681,6.4779025,2.4868509
Spalding, GA,2017,10,6,4,33.275,-84.2745,64192,38.9,42398,21675,13624,21.2238285,3.4848579
Thomas, GA,2017,10,2,2,30.8496,-83.9824,44909,39.6,41336,24047,8580,19.1053018,4.2686321
Vermilion, LA,2017,10,1,5,29.979,-92.119,59841,36.9,49266,23608,10517,17.5749068,3.2820307
Wagoner, OK,2017,10,2,1,35.9497,-95.6365,76830,38.5,59210,27337,8151,10.6091371,3.171938
Washington, VT,2017,10,2,0,44.244,-72.5316,58691,43.5,60602,32137,6658,11.3441584,2.2149904
Williams, ND,2017,10,2,2,48.166,-103.643,32916,31.3,89874,44474,2900,8.810305,1.0845789
Williamsburg, VA,2017,10,2,4,37.5148,-77.4013,14817,24.5,54606,26921,2278,15.3742323,3.3205102
Yolo, CA,2017,10,5,3,38.6757,-121.792,212605,30.9,61621,30615,39686,18.6665412,3.5224948
Arlington, VA,2017,9,5,1,38.8604,-77.094,229534,34.4,112138,67061,18502,8.0606795,2.0763808
Attala, MS,2017,9,4,4,33.066,-89.5903,18731,39.9,33815,20617,4161,22.2145107,4.1695585
Baxter, AR,2017,9,4,1,36.2443,-92.3722,41093,51.8,40072,24737,5117,12.4522425,2.3702334
Blount, TN,2017,9,3,1,35.7497,-83.9913,127135,43.2,51172,28334,16196,12.7392142,2.8741102
Bradley, TN,2017,9,3,3,35.1455,-84.8787,103666,39.2,46381,25144,18048,17.4097583,3.4861961
Burke, GA,2017,9,3,5,33.1689,-82.1729,22645,37.4,38707,19720,6504,28.7215721,2.3581365
Cerro Gordo, IA,2017,9,0,1,43.1472,-93.2023,43134,44.5,50569,31292,4773,11.0655168,2.176937
Chickasaw, MS,2017,9,3,3,33.9305,-89.0755,17305,37,33579,19609,3898,22.5252817,3.2129442
Chittenden, VT,2017,9,0,0,44.4769,-73.2157,160985,36.6,66906,36384,17057,10.5953971,2.3772401
Clallam, WA,2017,9,2,0,48.099,-123.386,73439,50.5,48002,28857,12353,16.8207628,3.6901374
Coles, IL,2017,9,1,3,39.4856,-88.1751,52540,34.3,41907,26060,10212,19.4366197,3.6829083
Crawford, KS,2017,9,1,4,37.3892,-94.707,39099,32.5,38017,21207,7849,20.0746822,2.6803755
Douglas, GA,2017,9,2,8,33.7316,-84.6569,140152,36.3,59333,25449,19690,14.0490325,4.0784291
Fayette, WV,2017,9,2,4,37.954,-81.2532,44602,43.3,39297,20758,8560,19.1919645,3.3092686
Franklin, KY,2017,9,4,4,38.1734,-84.9051,49969,40.7,53539,28001,6289,12.5858032,3.6642718
Gallatin, MT,2017,9,4,1,45.6821,-111.192,100733,33.4,59397,33181,12625,12.5331321,2.5125828
Graves, KY,2017,9,2,4,36.7325,-88.6409,37259,40.3,40369,22112,7035,18.8813441,3.518613
Harnett, NC,2017,9,4,6,35.3871,-78.8655,128753,33.9,50323,22351,22535,17.5025048,3.9105885
Highlands, FL,2017,9,3,11,27.2472,-81.3257,100177,53.1,36374,23020,18495,18.4623217,4.1586392
Holmes, MS,2017,9,7,3,33.1618,-90.2655,18267,34.5,20330,12394,8167,44.7090382,6.5418514
Jessamine, KY,2017,9,4,4,37.8763,-84.5744,51667,37.4,55450,28195,8947,17.3166625,3.4354617
Kosciusko, IN,2017,9,0,2,41.2492,-85.8525,78720,38,57190,27884,8600,10.9247967,2.3462907
Lake, CA,2017,9,4,5,38.8356,-122.723,64095,45.8,40446,23345,14398,22.4635307,4.4808487
Latah, ID,2017,9,1,0,46.5515,-116.922,38697,28.3,43310,24166,7980,20.6217536,3.8581802
Lawrence, IN,2017,9,3,3,38.7377,-86.4938,45669,42.6,49985,25036,5150,11.2767961,2.4633778
Lenawee, MI,2017,9,3,3,42.5535,-82.889,98585,41.6,51339,25649,12811,12.9948775,2.841203
Maury, TN,2017,9,2,4,35.612,-87.0326,87606,38.9,52080,25872,11212,12.7982102,3.0374632
Mille Lacs, MN,2017,9,2,0,46.2009,-93.7795,25635,40.1,53737,25732,2869,11.1917301,3.3352838
Northumberland, PA,2017,9,4,3,40.8508,-76.7678,93038,44.3,44534,24278,12762,13.7169759,2.3904211
Okmulgee, OK,2017,9,7,8,35.5365,-96.0421,39121,39.2,39567,21436,7332,18.7418522,4.2432453
Orange, TX,2017,9,2,4,30.092,-93.7473,83909,37.7,53667,27938,11759,14.0139913,2.7994613
Ravalli, MT,2017,9,2,1,46.629,-114.005,41387,48.5,44733,25151,6562,15.8552202,3.0903424
Sandusky, OH,2017,9,2,1,41.3666,-83.1319,59559,41.7,50370,25219,7916,13.2910223,2.7115969
Scott, MO,2017,9,0,1,36.8767,-89.5879,38858,40,41628,22939,7646,19.6767718,2.7896443
St. Clair, AL,2017,9,3,4,33.6141,-86.2978,86937,40.1,53483,24686,11656,13.40741,2.7077079
Stanly, NC,2017,9,4,8,35.3346,-80.2242,60875,42.4,46017,23398,9269,15.2262834,3.9293634
Taylor, KY,2017,9,1,4,37.3529,-85.3361,25406,38.4,36455,19885,5593,22.0144848,3.3968354
Tazewell, IL,2017,9,5,4,40.6636,-89.5709,134695,40.8,60874,32082,10556,7.836965,2.5353577
Van Buren, MI,2017,9,2,5,42.2079,-85.8076,75190,41.6,49119,25433,11733,15.6044687,3.1280755
Webster, IA,2017,9,1,5,42.5208,-94.1642,36945,39.6,42148,24629,5539,14.9925565,2.698606
Whitfield, GA,2017,9,1,6,34.8497,-85.0395,103963,35.4,43871,22262,19710,18.958668,3.909083
Wood, WV,2017,9,1,6,39.2339,-81.5418,86016,43,45537,26717,14387,16.725958,2.7134487
Worcester, MD,2017,9,1,3,38.1655,-75.3968,51559,49.7,59458,34425,5228,10.1398398,3.5706666
Yazoo, MS,2017,9,7,6,32.8629,-90.3966,27496,35.7,28330,16927,8518,30.9790515,5.3353215
Allegany, MD,2017,8,1,6,39.6698,-78.7931,72591,41.5,42771,22355,10916,15.0376768,3.9302393
Barnstable, MA,2017,8,0,1,41.657,-70.2694,213900,52.4,68048,40886,15810,7.3913043,2.8106592
Benton, OR,2017,8,4,0,44.5605,-123.292,88249,32.8,54682,30873,17119,19.3985201,3.4062709
Butler, PA,2017,8,2,3,40.6809,-79.9978,185984,43.1,66037,35101,15194,8.16952,2.3668703
Campbell, KY,2017,8,2,3,39.0847,-84.4709,91804,38,57208,31065,12541,13.6606248,2.876781
Chambers, AL,2017,8,3,11,32.7031,-85.2941,33895,43,37342,22002,6288,18.5514088,2.9325859
Cherokee, GA,2017,8,5,3,34.1069,-84.533,235896,38,75477,33466,22072,9.3566656,2.547309
Chester, SC,2017,8,3,7,34.7135,-81.1773,32424,41.8,37421,20518,7019,21.647545,4.2591907
Clay, MN,2017,8,1,1,46.8832,-96.3199,62040,32.6,61409,28122,7236,11.6634429,1.5586718
Clay, MO,2017,8,2,6,39.249,-94.4176,236068,36.8,65675,31953,20693,8.7656946,2.4187946
Coffee, GA,2017,8,2,2,31.5088,-82.8499,43048,35.9,36572,18945,9348,21.7152946,2.2649136
Columbiana, OH,2017,8,4,4,40.9021,-80.853,104584,43.8,45498,24758,15538,14.8569571,3.5626865
Crisp, GA,2017,8,6,3,31.9509,-83.783,23005,38.3,33194,21225,7025,30.5368398,6.398609
Cullman, AL,2017,8,5,1,34.1637,-86.8071,81703,40.6,40997,21857,13157,16.1034479,2.4013806
Curry, NM,2017,8,3,6,34.414,-103.213,50283,30.8,41941,22628,11064,22.0034604,3.4703578
Curry, OR,2017,8,0,1,42.41,-124.415,22377,55.6,42519,26925,3429,15.3237699,3.7851365
Eau Claire, WI,2017,8,5,0,44.8113,-91.5009,102388,34.3,52178,27780,14197,13.8658827,2.2697972
Elmore, AL,2017,8,4,3,32.5126,-86.3443,80989,38.5,54981,26251,10299,12.7165418,3.2263641
Fayette, GA,2017,8,3,1,33.4848,-84.4297,110306,43.5,84861,39936,6907,6.2616721,2.7514369
Floyd, IN,2017,8,3,6,38.2703,-85.9293,76481,39.9,59451,30663,8104,10.5960958,2.7013245
Fond du Lac, WI,2017,8,2,1,43.7991,-88.4822,102082,41.2,57798,29431,8387,8.215944,2.1590486
Gadsden, FL,2017,8,2,4,30.5824,-84.5812,46113,40.7,39830,19252,10495,22.7593087,3.3070934
Guadalupe, TX,2017,8,5,3,29.5728,-98.321,150889,36.7,66187,29300,15774,10.4540424,2.1658305
Haywood, TN,2017,8,2,13,35.5966,-89.2537,17944,40,36118,21453,3377,18.8196612,3.1319661
Henderson, NC,2017,8,1,5,35.2768,-82.4207,112156,46.9,50454,28290,13134,11.7104747,1.6450301
Jackson, OK,2017,8,1,3,34.632,-99.3481,25574,34.2,45189,22988,4432,17.3301009,2.2757488
Johnson, TX,2017,8,4,6,32.3008,-97.3892,160173,36.9,60458,26574,17201,10.7390134,2.332478
Kusilvak, AK,2017,8,4,0,61.6809,-163.184,8129,24,36468,11693,3163,38.910075,10.5548038
Lincoln, MS,2017,8,2,11,31.6266,-90.5501,34542,37.8,37308,20627,8007,23.1804759,3.0455677
Lincoln, NC,2017,8,2,3,35.4805,-81.1761,80504,42.7,50782,27359,12103,15.0340356,3.9538408
Lycoming, PA,2017,8,3,2,41.2437,-77.0226,115398,41,50634,26265,15375,13.3234545,3.0780429
Marin, CA,2017,8,4,2,37.8626,-122.5,260814,46.1,104703,66748,20515,7.8657587,2.3813906
McClain, OK,2017,8,3,2,34.9924,-97.3689,37919,38.3,62081,28353,3574,9.425354,1.8275798
Medina, OH,2017,8,5,0,41.1438,-81.8504,176362,41.9,71595,34174,10764,6.1033556,1.9550697
Otter Tail, MN,2017,8,2,2,46.2812,-95.7141,57790,46.6,55181,29932,5350,9.257657,1.8203841
Paulding, GA,2017,8,5,2,33.9812,-84.8021,152399,35.6,63669,26636,14716,9.6562313,2.6627471
Pittsburg, OK,2017,8,2,5,34.9236,-95.7703,44673,41,44941,24408,7287,16.3118662,2.7466255
Pope, AR,2017,8,2,4,35.2831,-93.1229,63372,34.9,40668,21650,11841,18.6849082,3.3816196
Ross, OH,2017,8,0,1,39.3434,-82.9978,77125,40.5,45792,22714,12925,16.7585089,3.2777958
Sequoyah, OK,2017,8,4,1,35.4511,-94.8017,41364,40.7,37455,19253,10048,24.2916546,3.5900783
Sussex, NJ,2017,8,1,3,40.4896,-74.4818,143570,44.1,89238,41272,7573,5.2747789,3.5857073
Umatilla, OR,2017,8,3,3,45.7324,-118.757,76736,36.1,50071,22153,12817,16.702721,3.8013449
Washington, LA,2017,8,3,1,30.7716,-89.9304,46449,39.9,32962,18345,11679,25.143706,4.9129152
Washington, OK,2017,8,4,0,36.7473,-95.9808,51867,40.1,50388,28913,7134,13.7544103,2.1670812
Webster, LA,2017,8,1,3,32.4776,-93.4002,40043,40.6,30891,19256,9697,24.2164673,2.6871114
White, AR,2017,8,6,1,35.269,-91.6785,78706,36.3,44074,23120,12354,15.6963891,2.72025
Williamsburg, SC,2017,8,2,3,33.6763,-79.8323,32256,41.7,30976,17440,8575,26.5842014,3.8473462
